6A,Airport, Malviya Nagar Sector 5 & 1+B 405, Underpass Bridge, Malviya Nagar Sector 1 - 3, Saras Dairy, JLN Marg, Dainik Bhaskar, Gandhi Nagar Station, Tonk Fatak, Rambhag, SMS, Ajmeri Gate, MI Road, Collectory Circle, Chinkar Canteen, Panipech, Chomu Pulia, Jhotwara , Kirni Fatak
7, Khirni Fatak Pulia, Heerapura (New T.P. Nagar), Gaj Singh Pura, Kisan Dharm Kanta, Gurjar Ki Thadi, Triveni Nagar, Gopalpura, Rambhag, Narayan Singh Circle, Moti Dungri, Govind Marg, Mental Hospital , Transport Nagar,,,,,,
8A, Jagatpura, Apex Circle, Jhalan, Gandhi Nagar Mod, Rambhag, Ajmeri Gate, MI Road, GPO, Sindhi Camp, Railway Station, Chinkara, Panipech ,chomu puliya,,,,,,
8B, Alka cinema, Vidhyadhar Nagar, Shashtri Nagar, Chandpole,GPO, Sodala, Kings Road, Nirman Nagar, Ganga Jamuna Petrol Pump, Mansarovar (Madyam Marg), Agarwal Form, Sanganer Police Station,  Sita Badi, Aasarm Marg, Jawahar Circle, Vivek Vihar, Jagatpura Railway Station, Jagatpura,
9, Agrawal Farm , Mansrower Madhyam Marg, Gurjar ki Thadi, Gopalpura, Tonk Fatak, Ajmeri Gate, MI Road, Collectrat, Chinkara, Chomu Pulia, Jhotwara, Joshi Marg,Govindpura,,,,,,
9A, Agarwal Form ,Vijay Path, Sipra Path, Maharani Form, Durgapura, Tonk Fatak, Rambhag, Ajmeri Gate, Sanganeri Gate, Badi Chopar, Chandpole, Pittal Factory, Shastri Nagar, Vidyadhar Nagar, Alka Cinema, Road No. 1, Murlipura, Dadi Ka Fatak,
9B,Mahatma Gandhi Hospital ,Sitapura, India Gate, Sanganer Thana, Sanganer RICCO Chouraha, New Sanganer Road, Kisan Dharm Kanta, Heerapura,,,,,,,,,,,
10B,Galta Gate ,T.P. Nagar, Jawahar Nagar Shanti Path, Tilak Nagar, JDA Circle, Rambag Circle, Shakar Bhawan, Sodala, ESI No. 4, Hasanpura, Rialway Station, Chandpole, Pital Factory, Chomu Puliya, Jhotwara Kanta, Shalimar, Niwaru,,
11,Siwad , Meenawala, Khatipura, Railway Station, Chandpole, Ajmeri Gate,  Durgapura, Sanganer Thana, Pratap Nagar, India Gate, 12 Meel, Vidhani , Goner,,,,,,
13, Ajmeri Gate , Gandhi Nagar Mod, Jhalana, Jagatpura, Ramnagariya Chouraha, Haldi Ghati Chouraha, Mahima Panorma , V.I.T. College,,,,,,,,,,,
14, Jhotwara , Khatipura, Vaishali Nagar, Sodala, Rambagh, Ajmeri Gate, Transport Nagar, Kanota , Bassi,,,,,,,,,,
15, Chandpoul ,Rampura, Jetpura, Chomu,,,,,,,,,,,,,,,
16,Ajmeri Gate, Tonk Phatak, Durgapura, Sanganer Thana, Pratap Nagar, 12mile,Bilwa, Shivdaspura, Shitla , Chaksu,,,,,,,,,
18, Chomu Pulia , Jhotwada, Khatipura, Vaishali Nagar, Chitrakut Nagar, Heerapura, Bhankrota, Mahapura, Mahendra Sez, Kalwada,,,,,,,,,
23,Ajmeri Gate , Rambagh, Gopalpura, Gurjar ki Tadi, Ganga Jamuna, Mansarower Madhyam Marg, Arawali Path, Patrakar Colony,,,,,,,,,,,
26, Chandpole, Sodala, Purani Chungi, DCM, Heerapura, Bhankrota, Bad Ke Balaji, Dahmi Kala/ Sanjhariya, Bagru,,,,,,,,,,
27, Mohanpura, 12mile, India Gate, Sanganer Thana, Tonk Phatak, Ajmeri Gate, TP Nagar,Khaniya, Luniyawas, Dantli, Siroli, Watika to Goner,,,,,,,
28, Ajmeri gate ,Tonk Phatak, Durgapura, Sanganer Thana, Malpura Gate, Balawala, Banyawali,  Renwal,,,,,,,,,,,
30, Badi Chopad , Jorawer Singh Gate, Ramgarh Mod, Sadawa , Ramgarh,,,,,,,,,,,,,,
32, Narayan Vihar, Bhakhar Paradise, Vardhman Nagar, Badarwas, Metro, Gopalpura, Rambhag, Ajmeri Gate, Ghatgate, Transport Nagar, Kanota, Nayla,,,,,,,
